,Virus name,Tier,Subtype,Infection stage,Coreceptor,Country,Year,Accession,Alias,Seq data,Virus patient,Virus type,Seq name,IC50,4E10:IC50: by study
10,0330_V4_C3,2,A1,<12mo,,TANZANIA,2005.0,HM215257,0330.v4.c3,Yes,330,panel,A1.TZ.2005.0330_V4_C3.HM215257,3.94344,0.963: Zhang2019a;1.12: Bricault2019_dataset2;2.87: Williams2017_dataset1;5.8: Bricault2019_dataset3;5.8: Montefiori CAVD CA-VIMC;6.86: Bricault2019;6.86: Chuang2013;6.86: Huang2012a;6.86: Huang2016a_dataset1
11,0404_BM_B9,,C,,,MALAWI,2009.0,HQ595836,0404_bmB9,Yes,714910404,non-panel,C.MW.2009.0404_BM_B9.HQ595836,0.95,0.95: Fouda2013
12,0404_BM_D4,,C,,,MALAWI,2009.0,HQ595839,0404_bmD4,Yes,714910404,non-panel,C.MW.2009.0404_BM_D4.HQ595839,50.0,>25: Fouda2013
13,0404_BM_F3,,C,,,MALAWI,2009.0,HQ595842,0404_bmF3,Yes,714910404,non-panel,C.MW.2009.0404_BM_F3.HQ595842,14.38,14.38: Fouda2013
14,0404_BM_G3,,C,,,MALAWI,2009.0,HQ595847,0404_bmG3,Yes,714910404,non-panel,C.MW.2009.0404_BM_G3.HQ595847,50.0,>25: Fouda2013
15,0404_BM_H4,,C,,,MALAWI,2009.0,HQ595852,0404_bmH4,Yes,714910404,non-panel,C.MW.2009.0404_BM_H4.HQ595852,50.0,>25: Fouda2013
16,0439_V5_C1,2,A1,<12mo,,TANZANIA,2005.0,HM215258,"439, 0439.v5.c1",Yes,439,panel,A1.TZ.2005.0439_V5_C1.HM215258,7.63407,1.23: Bricault2019_dataset2;8.24: Bricault2019;8.24: Chuang2013;8.24: Huang2012a;8.24: Huang2016a_dataset1;14.1: Williams2017_dataset1;18.9: Montefiori CAVD CA-VIMC
17,0702_BM_B4,,C,,,MALAWI,2008.0,HM070516,0702_bmB4,Yes,715900702,non-panel,C.MW.2008.0702_BM_B4.HM070516,5.6,5.6: Fouda2013
18,0702_BM_B9,,C,,,MALAWI,2008.0,HM070517,0702_bmB9,Yes,715900702,non-panel,C.MW.2008.0702_BM_B9.HM070517,3.6,3.6: Fouda2013
19,0702_BM_D1,,C,,,MALAWI,2008.0,HM070518,0702_bmD1,Yes,715900702,non-panel,C.MW.2008.0702_BM_D1.HM070518,0.33,0.33: Fouda2013
20,0702_BM_H12,,C,,,MALAWI,2008.0,HM070525,0702_bmH12,Yes,715900702,non-panel,C.MW.2008.0702_BM_H12.HM070525,4.75,4.75: Fouda2013
21,0735_V4_C1,,A1C,<12mo,,TANZANIA,2005.0,HM215259,0735.v4.c1,Yes,735,panel,A1C.TZ.2005.0735_V4_C1.HM215259,2.4,2.4: Montefiori CAVD CA-VIMC
22,0815_V3_C3,2,A1D,<12mo,,TANZANIA,2004.0,HM215260,"0815.V3.C3, 815, 0815.v3.c3",Yes,815,panel,A1D.TZ.2004.0815_V3_C3.HM215260,2.47655,0.491: Bricault2019_dataset2;1.2: Zhang2019a;1.66: Bricault2019;1.66: Chuang2013;1.66: Huang2012a;1.66: Huang2016a_dataset1;5.42: Williams2017_dataset1;7.1: Bricault2019_dataset3;7.1: Hraber2014;7.1: Montefiori CAVD CA-VIMC
23,0907_V4_C12,,A1D,<12mo,,TANZANIA,2005.0,HM215261,0907.v4.c12,Yes,907,panel,A1D.TZ.2005.0907_V4_C12.HM215261,4.2,4.2: Montefiori CAVD CA-VIMC
24,0921_V2_C14,2,C,<12mo,,TANZANIA,2004.0,HM215262,"0921.V2.C14, 921, 0921.v2.c14",Yes,921,panel,C.TZ.2004.0921_V2_C14.HM215262,6.82005,0.908: Bricault2019_dataset2;5.63: Bricault2019;5.63: Chuang2013;5.63: Huang2012a;5.63: Huang2016a_dataset1;9.77: Williams2017_dataset1;15.3: Bricault2019_dataset1;15.3: Montefiori CAVD CA-VIMC;15.3: Wagh2016
25,0933_V4_C4,3,C,<12mo,,TANZANIA,2005.0,HM215352,"933.v4.c4, 933_V4_C4, 0933.v4.c4",Yes,933,panel,C.TZ.2005.0933_V4_C4.HM215352,4.6,4.6: Bricault2019_dataset1;4.6: Montefiori CAVD CA-VIMC;4.6: Wagh2016
26,0984_V2_C2,3,C,<12mo,,TANZANIA,2004.0,HM215263,0984.v2.c2,Yes,984,panel,C.TZ.2004.0984_V2_C2.HM215263,23.1,23.1: Bricault2019_dataset1;23.1: Montefiori CAVD CA-VIMC;23.1: Wagh2016
27,09GX268,,01_AE,,,CHINA,2009.0,MG655196,,Yes,09GX268,non-panel,01_AE.CN.2009.09GX268.MG655196,3.355,3.355: Wang2018a
28,09GX285,,01_AE,,,CHINA,2009.0,MG655197,,Yes,09GX285,non-panel,01_AE.CN.2009.09GX285.MG655197,2.945,2.945: Wang2018a
29,09GX286,,01_AE,,,CHINA,2009.0,MG655198,,Yes,09GX286,non-panel,01_AE.CN.2009.09GX286.MG655198,6.703,6.703: Wang2018a
30,09GX300,,01_AE,,,CHINA,2009.0,MG655199,,Yes,09GX300,non-panel,01_AE.CN.2009.09GX300.MG655199,1.809,1.809: Wang2018a
31,09GX310,,01_AE,,,CHINA,2009.0,MG655200,,Yes,09GX310,non-panel,01_AE.CN.2009.09GX310.MG655200,4.046,4.046: Wang2018a
32,09GX311,,01_AE,,,CHINA,2009.0,MG655201,,Yes,09GX311,non-panel,01_AE.CN.2009.09GX311.MG655201,0.399,0.399: Wang2018a
33,09GX319,,01_AE,,,CHINA,2009.0,MG655202,,Yes,09GX319,non-panel,01_AE.CN.2009.09GX319.MG655202,2.95,2.95: Wang2018a
34,09GX330,,01_AE,,,CHINA,2009.0,MG655203,,Yes,09GX330,non-panel,01_AE.CN.2009.09GX330.MG655203,0.419,0.419: Wang2018a
35,09GX332,,01_AE,,,CHINA,2009.0,MG655204,,Yes,09GX332,non-panel,01_AE.CN.2009.09GX332.MG655204,2.804,2.804: Wang2018a
36,100002I_2_1,2,B,acute T/F,,UNITED STATES,1993.0,MH012316,,Yes,100002i,non-panel,B.US.1993.100002I_2_1.MH012316,18.73,18.73: Kumar2018
37,100014I_2_20,2,B,acute T/F,,UNITED STATES,1993.0,MH012405,,Yes,100014i,non-panel,B.US.1993.100014I_2_20.MH012405,4.23,4.23: Kumar2018
38,100046I_3_2,2,B,acute T/F,,UNITED STATES,1993.0,MH012266,,Yes,100046i,non-panel,B.US.1993.100046I_3_2.MH012266,2.12,2.12: Kumar2018
39,100052I_2_15,1B,B,acute T/F,,UNITED STATES,1993.0,MH012468,,Yes,100052i,non-panel,B.US.1993.100052I_2_15.MH012468,18.17,18.17: Kumar2018
40,100155I_21,1B,B,acute T/F,,UNITED STATES,1992.0,MH012529,,Yes,100155i,non-panel,B.US.1992.100155I_21.MH012529,14.19,14.19: Kumar2018
41,100307I_2_26,1B,B,acute T/F,,UNITED STATES,1991.0,MH012599,,Yes,100307i,non-panel,B.US.1991.100307I_2_26.MH012599,16.37,16.37: Kumar2018
42,100307I_2_7,2,B,acute T/F,,UNITED STATES,1991.0,MH012608,,Yes,100307i,non-panel,B.US.1991.100307I_2_7.MH012608,14.61,14.61: Kumar2018
43,100383I_3_5,2,B,acute T/F,,UNITED STATES,1991.0,MH012655,,Yes,100383i,non-panel,B.US.1991.100383I_3_5.MH012655,10.72,10.72: Kumar2018
44,100504I_20,2,B,acute T/F,,UNITED STATES,1993.0,MH012682,,Yes,100504i,non-panel,B.US.1993.100504I_20.MH012682,50.0,>25: Kumar2018
45,1006_11_C3_1601,2,B,acute T/F,,UNITED STATES,1997.0,EU289183,"1006, 1006.11.C3.1601, BB1006-11.C3.1601, 1006-11.C3.1601",Yes,1006,panel,B.US.1997.1006_11_C3_1601.EU289183,5.06444,1.16: Morris2011;5.66: Zhang2019a;6.1: Bricault2019_dataset3;6.1: Corti2010;6.1: Hraber2014;6.1: Montefiori CAVD CA-VIMC;9.4: Moody2015
46,100711I_3_26,2,B,acute T/F,,UNITED STATES,1990.0,MH012790,,Yes,100711i,non-panel,B.US.1990.100711I_3_26.MH012790,4.99,4.99: Kumar2018
47,100890I_2_1,2,B,acute T/F,,UNITED STATES,1991.0,MH012806,,Yes,100890i,non-panel,B.US.1991.100890I_2_1.MH012806,5.19,5.19: Kumar2018
48,100890I_2_4,1A,B,acute T/F,,UNITED STATES,1991.0,MH012819,,Yes,100890i,non-panel,B.US.1991.100890I_2_4.MH012819,15.3,15.3: Kumar2018
49,100997I_2_18,3,B,acute T/F,,UNITED STATES,1991.0,MH012866,,Yes,100997i,non-panel,B.US.1991.100997I_2_18.MH012866,21.24,21.24: Kumar2018
50,100997I_2_2,2,B,acute T/F,,UNITED STATES,1991.0,MH012868,,Yes,100997i,non-panel,B.US.1991.100997I_2_2.MH012868,14.74,14.74: Kumar2018
51,1012_11_TC21_3257,1B or 2,B,acute T/F,,UNITED STATES,1997.0,EU289184,"1012.11.TC21.3257, BB1012-11.TC21, 1012, 1012-11.TC21, 1012-11.TC21.3257",Yes,1012,panel,B.US.1997.1012_11_TC21_3257.EU289184,3.14795,2.06: Zhang2019a;3.5: Bricault2019_dataset3;3.5: Corti2010;3.5: Hraber2014;3.5: Montefiori CAVD CA-VIMC
52,101421I_2_11,2,B,acute T/F,,UNITED STATES,1991.0,MH012925,,Yes,101421i,non-panel,B.US.1991.101421I_2_11.MH012925,13.87,13.87: Kumar2018
53,101421I_2_23,1B,B,acute T/F,,UNITED STATES,1991.0,MH012937,,Yes,101421i,non-panel,B.US.1991.101421I_2_23.MH012937,9.35,9.35: Kumar2018
54,101984I_10,3,B,acute T/F,,UNITED STATES,1991.0,MH012963,,Yes,101984i,non-panel,B.US.1991.101984I_10.MH012963,15.31,15.31: Kumar2018
55,101984I_21,3,B,acute T/F,,UNITED STATES,1991.0,MH012971,,Yes,101984i,non-panel,B.US.1991.101984I_21.MH012971,50.0,>25: Kumar2018
56,102149I_2_23,2,B,acute T/F,,UNITED STATES,1993.0,MH013041,,Yes,102149i,non-panel,B.US.1993.102149I_2_23.MH013041,2.49,2.49: Kumar2018
57,102407I_2_1,2,B,acute T/F,,UNITED STATES,1993.0,MH013075,,Yes,102407i,non-panel,B.US.1993.102407I_2_1.MH013075,1.31,1.31: Kumar2018
58,102605I_33,2,B,acute T/F,,UNITED STATES,1992.0,MH013148,,Yes,102605i,non-panel,B.US.1992.102605I_33.MH013148,50.0,>25: Kumar2018
59,1051_12_C22_3325,2,B,<3mo,CCR5,UNITED STATES,1997.0,EU575148,BB1051-12.C22,Yes,1051,panel,B.US.1997.1051_12_C22_3325.EU575148,50.0,>25: Montefiori CAVD CA-VIMC
60,1051_12_TD12_3291,2,B,<3mo,CCR5,UNITED STATES,1997.0,EU575170,BB1051-12.TD12,Yes,1051,panel,B.US.1997.1051_12_TD12_3291.EU575170,5.6,5.6: Montefiori CAVD CA-VIMC
61,1054_07_TC4_1499,2,B,acute T/F,,UNITED STATES,1997.0,EU289185,"1054-07.TC4.1499, BB1054-07.TC4.1499, 1054.07.TC4.1499, 1054",Yes,1054,panel,B.US.1997.1054_07_TC4_1499.EU289185,1.21692,0.93: Moody2015;1.1: Bricault2019_dataset3;1.1: Corti2010;1.1: Hraber2014;1.1: Montefiori CAVD CA-VIMC;1.35: Zhang2019a;2.15: Morris2011
62,1056_10_TA11_1826,1B or 2,B,acute T/F,,UNITED STATES,1998.0,EU289186,"BB1056-10.TA11.1826, 1056, 1056.10.TA11.1826, 1056-10.TA11.1826",Yes,1056,panel,B.US.1998.1056_10_TA11_1826.EU289186,0.61665,0.6: Bricault2019_dataset3;0.6: Corti2010;0.6: Hraber2014;0.6: Montefiori CAVD CA-VIMC;0.688: Zhang2019a
63,1058_11_B11_1550,2,B,acute,,UNITED STATES,1998.0,EU289187,"p1058_11.B11.1550, 1058-11.B11.1550",Yes,1058,panel,B.US.1998.1058_11_B11_1550.EU289187,2.83,2.83: Montefiori CAVD CA-VIMC
64,1059_09_A4_1460,2,B,<3mo,CCR5,UNITED STATES,1998.0,EU575376,1059-09.A4.1460,Yes,1059,panel,B.US.1998.1059_09_A4_1460.EU575376,0.8,0.8: Montefiori CAVD CA-VIMC
65,1105_P17_1,,02_AG,<12mo,,SENEGAL,1999.0,HM215264,"1105.p17, 1105.p17.1",Yes,1105,panel,02_AG.SN.1999.1105_P17_1.HM215264,13.5,13.5: Montefiori CAVD CA-VIMC
66,1107356_07,1B,C,<3mo,,SOUTH AFRICA,2008.0,JQ352794,"BP0023_07, 1107356.07",Yes,BP00023,panel,C.ZA.2008.1107356_07.JQ352794,4.15,4.15: Bricault2019_dataset1;4.15: Wagh2016
67,1143465_14,1B,C,acute,,SOUTH AFRICA,2008.0,JQ352799,"BP0025_14, 1143465.14",Yes,BP00025,panel,C.ZA.2008.1143465_14.JQ352799,3.3,3.3: Bricault2019_dataset1;3.3: Wagh2016
68,1170887_08,2,C,acute,,SOUTH AFRICA,2008.0,JQ352801,"BP0028_08, 1170887.08",Yes,BP00028,panel,C.ZA.2008.1170887_08.JQ352801,25.42,25.42: Bricault2019_dataset1;25.42: Wagh2016
69,1209_BM_A5,,C,,,MALAWI,2008.0,HM070562,1209_bmA5,Yes,715901209,non-panel,C.MW.2008.1209_BM_A5.HM070562,1.16,1.16: Fouda2013
70,1209_BM_B21,,C,,,MALAWI,2008.0,HM070564,1209_bmB21,Yes,715901209,non-panel,C.MW.2008.1209_BM_B21.HM070564,20.53,20.53: Fouda2013
71,1209_BM_G5,,C,,,MALAWI,2008.0,HM070569,1209_bmG5,Yes,715901209,non-panel,C.MW.2008.1209_BM_G5.HM070569,1.69,1.69: Fouda2013
72,1209_BM_H5,,C,,,MALAWI,2008.0,HM070570,1209_bmH5,Yes,715901209,non-panel,C.MW.2008.1209_BM_H5.HM070570,3.56,3.56: Fouda2013
73,1245045,2,C,acute,,SOUTH AFRICA,2008.0,HQ595742,,Yes,1245045,panel,C.ZA.2008.1245045.HQ595742,39.9,39.9: Bricault2019_dataset1;39.9: Wagh2016
74,1394_C9G1,2,C,acute T/F,,MALAWI,2004.0,FJ444527,"1394C9_G1(Rev-), 1394C9G1(Rev.), 1394C9G1, 1394_C9G1_Rev-, 1394, 1394C9G1(Rev-), 1394C9G1_Rev-, 1394C9G1(RevM), 1394C9G1_REV_",Yes,1394,panel,C.MW.2004.1394_C9G1.FJ444527,2.22492,2.16: Bricault2019_dataset1;2.16: Bricault2019_dataset3;2.16: Hraber2014;2.16: Montefiori CAVD CA-VIMC;2.16: Wagh2016;2.58: Zhang2019a
75,15JS01,,01_AE,,,CHINA,2015.0,MG655205,,Yes,15JS01,non-panel,01_AE.CN.2015.15JS01.MG655205,2.536,2.536: Wang2018a
76,15JS06,,01_AE,,,CHINA,2015.0,MG655206,,Yes,15JS06,non-panel,01_AE.CN.2015.15JS06.MG655206,9.595,9.595: Wang2018a
77,15JS07,,01_AE,,,CHINA,2015.0,MG655207,,Yes,15JS07,non-panel,01_AE.CN.2015.15JS07.MG655207,0.824,0.824: Wang2018a
78,15JS102,,01_AE,,,CHINA,2015.0,MG655208,,Yes,15JS102,non-panel,01_AE.CN.2015.15JS102.MG655208,8.88,8.88: Wang2018a
79,15JS111,,01_AE,,,CHINA,2015.0,MG655209,,Yes,15JS111,non-panel,01_AE.CN.2015.15JS111.MG655209,2.628,2.628: Wang2018a
80,15JS47,,01_AE,,,CHINA,2015.0,MG655210,,Yes,15JS47,non-panel,01_AE.CN.2015.15JS47.MG655210,5.28,5.28: Wang2018a
81,15JS48,,01_AE,,,CHINA,2015.0,MG655211,,Yes,15JS48,non-panel,01_AE.CN.2015.15JS48.MG655211,1.475,1.475: Wang2018a
82,15JS62,,01_AE,,,CHINA,2015.0,MG655212,,Yes,15JS62,non-panel,01_AE.CN.2015.15JS62.MG655212,5.43,5.43: Wang2018a
83,15JS65,,01_AE,,,CHINA,2015.0,MG655213,,Yes,15JS65,non-panel,01_AE.CN.2015.15JS65.MG655213,2.496,2.496: Wang2018a
84,15JS75,,01_AE,,,CHINA,2015.0,MG655214,,Yes,15JS75,non-panel,01_AE.CN.2015.15JS75.MG655214,8.828,8.828: Wang2018a
85,15JS76,,01_AE,,,CHINA,2015.0,MG655215,,Yes,15JS76,non-panel,01_AE.CN.2015.15JS76.MG655215,1.271,1.271: Wang2018a
86,15JS79,,01_AE,,,CHINA,2015.0,MG655216,,Yes,15JS79,non-panel,01_AE.CN.2015.15JS79.MG655216,0.459,0.459: Wang2018a
87,15JS99,,01_AE,,,CHINA,2015.0,MG655218,,Yes,15JS99,non-panel,01_AE.CN.2015.15JS99.MG655218,2.071,2.071: Wang2018a
88,16055_2_3,2,C,acute,CCR5,INDIA,1999.0,EF117268,"HIV_16055_2_3, HIV-16055.2.3, HIV-16055-2.3, 16055-2.3, 16055",Yes,16055,panel,C.IN.1999.16055_2_3.EF117268,1.6984,0.1: Corti2010;1.1: Bricault2019_dataset2;1.37: Williams2017_dataset1;1.59: Zhang2019a;1.7: Bricault2019_dataset3;1.7: Hraber2014;1.7: Montefiori CAVD CA-VIMC;4.12: Bricault2019;4.12: Chuang2013;4.12: Huang2012a;4.12: Huang2016a_dataset1
89,1656_P21,,06_cpx,<12mo,,SENEGAL,1999.0,HM215265,1656.p21,Yes,,panel,06_cpx.SN.1999.1656_P21.HM215265,50.0,>25: Montefiori CAVD CA-VIMC
90,16845_2_22,2,C,<12mo,CCR5,INDIA,1999.0,EF117269,"16845, HIV-16845-2.22, HIV_16845_2_22, 16845-2.22, HIV-16845.2.22",Yes,16845,panel,C.IN.1999.16845_2_22.EF117269,0.19796,0.02: Bricault2019_dataset2;0.097: Zhang2019a;0.1: Bricault2019_dataset3;0.1: Hraber2014;0.1: Montefiori CAVD CA-VIMC;0.125: Williams2017_dataset1;0.459: Bricault2019;0.459: Chuang2013;0.459: Huang2012a;0.459: Huang2016a_dataset1;1.7: Corti2010
91,16936_2_21,2,C,<3mo,CCR5,INDIA,1999.0,EF117270,"16936-2.21.SG3, 16936-2.21, 16936",Yes,16936,panel,C.IN.1999.16936_2_21.EF117270,0.95515,0.1: Corti2010;0.264: Bricault2019_dataset2;1.42: Williams2017_dataset1;1.79: Bricault2019;1.79: Chuang2013;1.79: Huang2012a;1.79: Huang2016a_dataset1;1.8: Montefiori CAVD CA-VIMC
92,1811_B3_23,2,C,<3mo,,BOTSWANA,2004.0,KC154012,"1811_B2.23, 1811_B3.23, B001811_B3_23",Yes,B001811,panel,C.BW.2004.1811_B3_23.KC154012,2.92,2.92: Bricault2019_dataset1;2.92: Wagh2016
93,18814602_H8_F3,1B,C,acute,,SOUTH AFRICA,2005.0,HQ615948,,Yes,18814602,panel,C.ZA.2005.18814602_H8_F3.HQ615948,1.75,1.75: Bricault2019_dataset1;1.75: Wagh2016
94,191084_B7_19,2,A1,acute T/F,,UGANDA,2007.0,HM215266,"191084_B7.19, 191084B7-19, 191084 B7-19, IAVI-191084, 191084_B7-19, 191084CB7M19",Yes,191084,panel,A1.UG.2007.191084_B7_19.HM215266,9.69715,1.23: Zhang2019a;19.3: Bricault2019_dataset3;19.3: Hraber2014;19.3: Montefiori CAVD CA-VIMC
95,19157834_V1,2,C,acute,,SOUTH AFRICA,2005.0,HQ595743,19157834_v1,Yes,19157834,panel,C.ZA.2005.19157834_V1.HQ595743,4.4,4.4: Bricault2019_dataset1;4.4: Wagh2016
96,191727_D1_12,,D,<3mo,,UGANDA,2007.0,HM215267,IAVI-191727,Yes,191727,panel,D.UG.2007.191727_D1_12.HM215267,9.08,9.08: Montefiori CAVD CA-VIMC
97,191727_F6,,D,<3mo,,UGANDA,2007.0,HM215269,,Yes,191727,panel,D.UG.2007.191727_F6.HM215269,16.88,16.88: Montefiori CAVD CA-VIMC
98,191821_E6_1,2,D,acute T/F,,UGANDA,2006.0,HM215270,"IAVI-191821, 191821, 191821.E6.1",Yes,191821,panel,D.UG.2006.191821_E6_1.HM215270,6.42549,1.91: Bricault2019_dataset2;7.21: Bricault2019_dataset3;7.21: Hraber2014;7.21: Montefiori CAVD CA-VIMC;15.3: Williams2017_dataset1
99,191845_B11,,A1,<3mo,,UGANDA,2007.0,HM215271,"191845, IAVI-191845",Yes,191845,panel,A1.UG.2007.191845_B11.HM215271,0.93,0.93: Montefiori CAVD CA-VIMC
100,191955_A11,2,A1,acute T/F,,UGANDA,2007.0,HM215272,"191955, IAVI-191955",Yes,191955,panel,A1.UG.2007.191955_A11.HM215272,0.1442,0.011: Zhang2019a;0.34: Bricault2019_dataset3;0.34: Hraber2014;0.34: Montefiori CAVD CA-VIMC
101,192018_B1_9,,A1D,<3mo,,UGANDA,2007.0,HM215273,IAVI-192018,Yes,192018,panel,A1D.UG.2007.192018_B1_9.HM215273,2.5,2.5: Montefiori CAVD CA-VIMC
102,19252094_A5_G2,2,C,acute,,SOUTH AFRICA,2005.0,HQ615953,,Yes,19252094,panel,C.ZA.2005.19252094_A5_G2.HQ615953,13.79,13.79: Bricault2019_dataset1;13.79: Wagh2016
103,193003_B10,,A1D,<12mo,,UGANDA,2007.0,HM215274,"193003, IAVI-193003",Yes,193003,panel,A1D.UG.2007.193003_B10.HM215274,3.18,3.18: Montefiori CAVD CA-VIMC
104,19314479_A2_5,2,C,acute,,SOUTH AFRICA,2005.0,HQ615958,,Yes,19314479,panel,C.ZA.2005.19314479_A2_5.HQ615958,10.9,10.9: Bricault2019_dataset1;10.9: Wagh2016
105,19707346_E8_C6,3,C,acute,,SOUTH AFRICA,2006.0,HQ615951,,Yes,19707346,panel,C.ZA.2006.19707346_E8_C6.HQ615951,3.07,3.07: Bricault2019_dataset1;3.07: Wagh2016
106,19715820_A10_H2,2,C,acute,,SOUTH AFRICA,2007.0,HQ615950,,Yes,19715820,panel,C.ZA.2007.19715820_A10_H2.HQ615950,4.87,4.87: Bricault2019_dataset1;4.87: Wagh2016
107,20104663_E11_D2,2,C,acute,,SOUTH AFRICA,2007.0,HQ615945,,Yes,20104663,panel,C.ZA.2007.20104663_E11_D2.HQ615945,6.06,6.06: Bricault2019_dataset1;6.06: Wagh2016
108,20198102_E9_G1,3,C,acute,,SOUTH AFRICA,2007.0,HQ615944,,Yes,20198102,panel,C.ZA.2007.20198102_E9_G1.HQ615944,4.81,4.81: Bricault2019_dataset1;4.81: Wagh2016
109,20258279_V2,2,C,<3mo,,SOUTH AFRICA,2007.0,HQ595763,"20258279-V2, 20258279_v2",Yes,20258279,panel,C.ZA.2007.20258279_V2.HQ595763,15.4,15.4: Bricault2019_dataset1;15.4: Wagh2016
110,20286961_C1_H8,2,C,acute,,SOUTH AFRICA,2009.0,HQ615960,,Yes,20286961,panel,C.ZA.2009.20286961_C1_H8.HQ615960,1.14,1.14: Bricault2019_dataset1;1.14: Wagh2016
111,20355851_20,3,C,acute,,SOUTH AFRICA,2008.0,JQ352789,"20355851.2, BP0016_20, 20355851.20",Yes,BP00016,panel,C.ZA.2008.20355851_20.JQ352789,100.0,>50: Bricault2019_dataset1;>50: Wagh2016
112,20358510_01,2,C,acute,,SOUTH AFRICA,2008.0,JQ352790,"20358510.01, BP0018_01",Yes,BP00018,panel,C.ZA.2008.20358510_01.JQ352790,44.77,44.77: Bricault2019_dataset1;44.77: Wagh2016
113,20417927_07,2,C,acute,,SOUTH AFRICA,2007.0,JQ352785,"BP0002_07, 20417927.07",Yes,BP00002,panel,C.ZA.2007.20417927_07.JQ352785,5.74,5.74: Bricault2019_dataset1;5.74: Wagh2016
114,20721190,3,C,acute,,SOUTH AFRICA,2008.0,HQ595747,,Yes,20721190,panel,C.ZA.2008.20721190.HQ595747,13.77,13.77: Bricault2019_dataset1;13.77: Wagh2016
115,20803520,2,C,acute,,SOUTH AFRICA,2008.0,HQ595748,,Yes,20803520,panel,C.ZA.2008.20803520.HQ595748,17.23,17.23: Bricault2019_dataset1;17.23: Wagh2016
116,20883229_C9_H6,3,C,acute,,SOUTH AFRICA,2008.0,HQ615943,,Yes,20883229,panel,C.ZA.2008.20883229_C9_H6.HQ615943,3.97,3.97: Bricault2019_dataset1;3.97: Wagh2016
